moody_lighting,"氛围光照"
cinematic_lighting,"电影级光照,电影光效"
studio_lighting,"工作室光照"
soft_lighting,"柔光"
hard_lighting,"硬光"
volumetric_lighting,"体积光"
contre-jour,"逆光"
beautiful_lighting,"美丽的光照"
split_lighting,"分割照明"
accent_lighting,"重点照明"
strong_rim_light,"轮廓光"
tyndall_effect,"丁达尔效应"
caustics,"水波纹(需与水相关词条搭配),焦散"
illustration,"插画"
sketch,"草图,素描"
realistic,"写实,现实的/真实的,现实的"
octane_render,"渲染"
outline,"轮廓强调,大纲"
no_lineart,"没有描线,没有线稿"
detailed_and_intricate,"细节且详细的"
colored_pencil_(medium),"彩铅画,彩色铅笔(中号)"
cel_shading,"三渲二,细胞阴影"
anime,"动画风"
bishoujo_figure,"手办"
wallpaper,"壁纸"
official_art,"官方图片,官方画作,官方艺术"
concept_art,"概念美术,概念艺术"
magazine_scan,"杂志扫描"
watercolor_(medium),"水彩,水彩(中)"
watercolor_pencil_(medium),"水彩铅笔,水彩笔(中号)"
oil_painting_(medium),"油画,油画(中)"
pixel_art,"像素画,像素风,像素艺术"
style_of_cygames,"cygames"
style_of_genshin_impact,"原神"
style_of_love_live!,"lovelive"
style_of_arknights,"明日方舟"
style_of_granblue_fantasy,"碧蓝幻想"
style_of_azur_lane,"碧蓝航线"
style_of_gochuumon_wa_usagi_desu_ka,"点兔"
style_of_bang_dream!,"邦邦"
style_of_disgaea,"魔界战记"
style_of_amagami,"圣诞之吻"
style_of_8_bit_game,"8bit游戏"
style_of_a_1980s_anime,"1980年代的动画"
style_of_a_1980s_sitcom,"1980年代的电视情景喜剧"
style_of_a_anime,"动画"
style_of_a_catgirl,"猫女孩DC"
style_of_a_disney_movie,"迪士尼电影"
style_of_a_doom,"毁灭战士"
style_of_a_goth,"哥特摇滚"
style_of_a_hairy_man,"毛发旺盛的男人"
style_of_a_idol,"偶像"
style_of_a_mascot,"吉祥物"
style_of_a_masculine_man,"阳刚的男人"
style_of_a_metalhead,"重金属乐迷"
style_of_a_pop_singer,"流行歌手"
style_of_a_poster,"海报"
style_of_a_propaganda_poster,"政治宣传海报"
style_of_a_punk_rocker,"朋克摇滚乐手"
style_of_a_20s_movie,"20年代电影"
style_of_a_60s_movie,"60年代电影"
style_of_a_80s_movie,"80年代电影"
style_of_a_90s_movie,"90年代电影"
style_of_an_octopus,"章鱼"
style_of_blade_runner,"银翼杀手"
style_of_borderlands,"无主之地"
style_of_bubble_bobble,"泡泡龙"
